iter	Passed	Remaining
0	156	155970
1	194	97032
2	239	79599
3	281	70079
4	310	61870
5	358	59419
6	399	56667
7	442	54927
8	479	52836
9	519	51426
10	543	48833
11	571	47089
12	597	45353
13	626	44149
14	650	42745
15	673	41426
16	699	40419
17	716	39093
18	733	37867
19	760	37268
20	797	37187
21	837	37223
22	870	36971
23	902	36692
24	926	36116
25	953	35717
26	981	35359
27	1010	35062
28	1034	34645
29	1070	34615
30	1103	34502
31	1138	34440
32	1165	34153
33	1194	33947
34	1223	33740
35	1255	33625
36	1281	33359
37	1310	33174
38	1325	32668
39	1338	32135
40	1354	31673
41	1379	31460
42	1418	31575
43	1452	31554
44	1491	31644
45	1531	31752
46	1567	31779
47	1609	31924
48	1687	32743
49	1731	32891
50	1767	32881
51	1802	32852
52	1830	32707
53	1858	32564
54	1887	32426
55	1910	32208
56	1935	32022
57	1961	31855
58	1986	31686
59	2011	31519
60	2038	31375
61	2063	31220
62	2091	31109
63	2129	31144
64	2156	31021
65	2181	30867
66	2206	30721
67	2230	30566
68	2243	30274
69	2257	29991
70	2270	29707
71	2288	29495
72	2321	29473
73	2356	29488
74	2395	29545
75	2424	29480
76	2457	29457
77	2492	29464
78	2524	29431
79	2554	29374
80	2583	29314
81	2634	29497
82	2674	29551
83	2698	29425
84	2712	29194
85	2725	28962
86	2754	28910
87	2799	29010
88	2828	28947
89	2854	28866
90	2884	28811
91	2915	28774
92	2939	28667
93	2963	28561
94	2983	28420
95	3002	28272
96	3025	28160
97	3052	28091
98	3074	27978
99	3093	27841
100	3115	27727
101	3135	27608
102	3157	27498
103	3179	27391
104	3201	27291
105	3223	27190
106	3246	27093
107	3269	27002
108	3290	26898
109	3313	26808
110	3337	26729
111	3359	26637
112	3379	26531
113	3401	26434
114	3421	26328
115	3443	26239
116	3466	26158
117	3493	26110
118	3520	26061
119	3546	26010
120	3572	25954
121	3602	25925
122	3625	25847
123	3648	25776
124	3672	25709
125	3695	25634
126	3719	25567
127	3740	25482
128	3762	25401
129	3785	25334
130	3806	25252
131	3828	25177
132	3847	25084
133	3868	25000
134	3888	24912
135	3906	24818
136	3924	24723
137	3943	24629
138	3962	24543
139	3982	24460
140	4002	24381
141	4019	24289
142	4037	24195
143	4055	24107
144	4072	24016
145	4093	23946
146	4113	23869
147	4133	23796
148	4151	23712
149	4169	23626
150	4187	23544
151	4206	23469
152	4225	23394
153	4243	23314
154	4263	23242
155	4279	23152
156	4295	23065
157	4312	22980
158	4330	22903
159	4349	22836
160	4369	22771
161	4387	22698
162	4408	22639
163	4426	22566
164	4444	22493
165	4463	22426
166	4482	22356
167	4500	22289
168	4523	22240
169	4543	22181
170	4562	22117
171	4581	22055
172	4598	21984
173	4616	21914
174	4634	21850
175	4653	21785
